馬券タイプ,賭ける馬の人気,賭けた回数,当たり回数,収益
三連単,9 → 6 → 10,33997,5,330750
三連単,6 → 15 → 14,21055,1,330120
三連単,4 → 15 → 11,21079,2,326120
三連単,1 → 11 → 6,32469,29,320410
三連単,7 → 1 → 15,21084,4,315410
三連単,1 → 17 → 4,3827,2,314010
三連単,3 → 11 → 12,30497,3,304060
三連単,14 → 2 → 11,24765,1,303950
三連単,1 → 17 → 12,3821,1,301920
馬連,7 - 17,3932,5,301060
三連単,2 → 13 → 7,27767,6,298520
馬単,15 → 6,21851,9,292940
三連単,4 → 2 → 18,3100,1,290740
三連単,2 → 8 → 9,35052,20,290560
三連単,12 → 8 → 2,30499,2,289180
三連単,4 → 11 → 3,32474,7,287800
三連複,3 - 10 - 18,3183,2,286170
三連単,2 → 15 → 6,21082,3,282130
三連単,1 → 14 → 16,16412,1,281840
三連単,8 → 7 → 5,35652,7,280440
三連単,2 → 9 → 12,30500,6,276430
三連単,12 → 11 → 7,30493,1,274130
三連単,5 → 7 → 2,35884,40,272840
三連単,3 → 16 → 5,16435,2,272730
三連単,2 → 13 → 8,27760,7,262310
三連単,13 → 7 → 3,27768,2,261890
三連単,11 → 14 → 1,24766,1,261690
三連単,1 → 8 → 12,30500,13,257270
三連複,3 - 9 - 18,3184,1,257100
三連単,2 → 10 → 4,34011,27,255540
三連単,8 → 1 → 17,3827,1,254740
三連単,2 → 13 → 4,27770,9,245220
三連複,2 - 9 - 18,3184,1,245150
三連単,14 → 3 → 13,24753,1,244690
三連単,13 → 3 → 8,27761,2,243930
三連単,2 → 15 → 4,21086,2,242900
三連単,10 → 3 → 11,32464,4,241840
三連単,2 → 14 → 13,24752,2,235960
三連単,4 → 15 → 6,21083,2,234240
三連単,6 → 2 → 14,24769,5,233860
三連複,9 - 10 - 17,3931,1,233470
三連単,3 → 10 → 1,34013,28,233440
三連単,3 → 13 → 6,27767,5,232890
三連単,3 → 6 → 1,35959,124,228890
三連単,9 → 7 → 10,33999,4,223180
三連複,3 - 13 - 16,17012,1,222850
三連単,2 → 11 → 5,32471,14,221710
三連単,7 → 11 → 1,32471,9,220980
三連単,3 → 11 → 8,32464,10,217910
三連単,13 → 5 → 1,27769,5,216440
三連単,2 → 8 → 6,35653,37,206880
三連単,11 → 2 → 12,30496,4,206480
三連単,4 → 10 → 11,32463,5,205280
三連単,7 → 2 → 6,35881,33,205270
三連単,6 → 8 → 13,27756,3,203920
三連複,2 - 9 - 15,21849,7,199030
三連単,2 → 14 → 7,24770,5,199000
三連複,3 - 7 - 17,3932,3,197040
三連複,5 - 6 - 15,21849,6,194580
三連単,10 → 6 → 2,34006,8,190140
三連単,16 → 13 → 8,16416,1,188580
三連単,3 → 7 → 17,3826,1,187680
三連単,6 → 2 → 15,21082,2,187370
三連単,1 → 13 → 4,27771,19,186770
三連複,2 - 4 - 18,3184,3,186170
三連単,3 → 15 → 13,21069,1,186130
三連単,9 → 3 → 5,35061,12,185990
三連単,9 → 5 → 14,24765,1,185480
三連単,5 → 12 → 1,30508,8,176970
三連複,4 - 9 - 12,31588,16,175890
三連単,8 → 7 → 11,32460,3,172780
三連単,2 → 4 → 12,30509,17,169600
三連複,8 - 11 - 16,17019,1,167780
三連単,3 → 2 → 10,34012,38,165170
三連単,5 → 1 → 18,3100,1,163710
三連複,1 - 14 - 17,3922,1,161380
三連複,3 - 8 - 13,28753,11,158940
三連単,10 → 11 → 8,32453,2,157950
三連単,11 → 1 → 14,24766,3,157240
